true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
75,photodermatoses,95,seborrheic dermatitis,2
48,lichen planus,75,photodermatoses,2
48,lichen planus,51,lupus erythematosus,2
48,lichen planus,47,lichen amyloidosis,2
76,pilar cyst,55,malignant melanoma,2
48,lichen planus,28,erythema multiforme,2
46,lentigo maligna,8,basal cell carcinoma,2
86,psoriasis,39,ichthyosis vulgaris,2
1,acne,92,scabies,2
10,becker nevus,94,scleromyxedema,2
113,xeroderma pigmentosum,15,dariers disease,2
6,allergic contact dermatitis,17,dermatomyositis,2
112,xanthomas,111,vitiligo,2
1,acne,100,stevens johnson syndrome,2
4,acrodermatitis enteropathica,14,congenital nevus,2
109,urticaria,79,pityriasis rosea,2
98,squamous cell carcinoma,56,melanoma,2
6,allergic contact dermatitis,13,cheilitis,2
6,allergic contact dermatitis,19,drug eruption,2
1,acne,6,allergic contact dermatitis,2
110,urticaria pigmentosa,28,erythema multiforme,2
8,basal cell carcinoma,32,folliculitis,2
8,basal cell carcinoma,9,basal cell carcinoma morpheiform,2
79,pityriasis rosea,64,nematode infection,2
8,basal cell carcinoma,6,allergic contact dermatitis,2
103,superficial spreading melanoma ssm,56,melanoma,2
15,dariers disease,2,acne vulgaris,2
110,urticaria pigmentosa,109,urticaria,2
1,acne,51,lupus erythematosus,2
6,allergic contact dermatitis,91,sarcoidosis,2
111,vitiligo,32,folliculitis,2
6,allergic contact dermatitis,74,perioral dermatitis,2
105,telangiectases,86,psoriasis,2
6,allergic contact dermatitis,8,basal cell carcinoma,2
2,acne vulgaris,22,eczema,2
8,basal cell carcinoma,91,sarcoidosis,2
98,squamous cell carcinoma,88,pyogenic granuloma,2
86,psoriasis,85,prurigo nodularis,2
51,lupus erythematosus,75,photodermatoses,2
110,urticaria pigmentosa,45,langerhans cell histiocytosis,2
64,nematode infection,51,lupus erythematosus,2
18,disseminated actinic porokeratosis,85,prurigo nodularis,2
17,dermatomyositis,92,scabies,2
63,necrobiosis lipoidica,91,sarcoidosis,2
63,necrobiosis lipoidica,32,folliculitis,2
98,squamous cell carcinoma,11,behcets disease,2
60,mycosis fungoides,15,dariers disease,2
62,naevus comedonicus,1,acne,2
15,dariers disease,80,pityriasis rubra pilaris,2
15,dariers disease,92,scabies,2
93,scleroderma,6,allergic contact dermatitis,2
54,lymphangioma,32,folliculitis,2
91,sarcoidosis,28,erythema multiforme,2
3,acquired autoimmune bullous diseaseherpes gestationis,28,erythema multiforme,2
91,sarcoidosis,32,folliculitis,2
58,mucinosis,53,lyme disease,2
92,scabies,6,allergic contact dermatitis,2
91,sarcoidosis,68,neutrophilic dermatoses,2
92,scabies,64,nematode infection,2
92,scabies,68,neutrophilic dermatoses,2
92,scabies,73,pediculosis lids,2
93,scleroderma,29,erythema nodosum,2
92,scabies,32,folliculitis,2
68,neutrophilic dermatoses,28,erythema multiforme,2
28,erythema multiforme,75,photodermatoses,2
28,erythema multiforme,86,psoriasis,2
66,neurofibromatosis,98,squamous cell carcinoma,2
28,erythema multiforme,100,stevens johnson syndrome,2
55,malignant melanoma,16,dermatofibroma,2
55,malignant melanoma,8,basal cell carcinoma,2
91,sarcoidosis,47,lichen amyloidosis,2
68,neutrophilic dermatoses,6,allergic contact dermatitis,2
28,erythema multiforme,44,keratosis pilaris,2
44,keratosis pilaris,75,photodermatoses,2
75,photodermatoses,93,scleroderma,2
48,lichen planus,86,psoriasis,2
81,porokeratosis actinic,5,actinic keratosis,2
31,fixed eruptions,86,psoriasis,2
82,porokeratosis of mibelli,86,psoriasis,2
42,kaposi sarcoma,28,erythema multiforme,2
83,porphyria,51,lupus erythematosus,2
41,juvenile xanthogranuloma,53,lyme disease,2
75,photodermatoses,68,neutrophilic dermatoses,2
75,photodermatoses,19,drug eruption,2
74,perioral dermatitis,90,rosacea,2
40,incontinentia pigmenti,13,cheilitis,2
39,ichthyosis vulgaris,80,pityriasis rubra pilaris,2
39,ichthyosis vulgaris,0,acanthosis nigricans,2
74,perioral dermatitis,1,acne,2
19,drug eruption,100,stevens johnson syndrome,2
93,scleroderma,41,juvenile xanthogranuloma,2
20,drug induced pigmentary changes,94,scleromyxedema,2
21,dyshidrotic eczema,22,eczema,2
93,scleroderma,86,psoriasis,2
93,scleroderma,75,photodermatoses,2
57,milia,53,lyme disease,2
93,scleroderma,73,pediculosis lids,2
22,eczema,60,mycosis fungoides,2
93,scleroderma,53,lyme disease,2
22,eczema,71,papilomatosis confluentes and reticulate,2
93,scleroderma,48,lichen planus,2
91,sarcoidosis,6,allergic contact dermatitis,2
22,eczema,99,stasis edema,2
66,neurofibromatosis,1,acne,2
51,lupus erythematosus,52,lupus subacute,2
111,vitiligo,43,keloid,1
111,vitiligo,31,fixed eruptions,1
111,vitiligo,17,dermatomyositis,1
110,urticaria pigmentosa,93,scleroderma,1
110,urticaria pigmentosa,52,lupus subacute,1
110,urticaria pigmentosa,40,incontinentia pigmenti,1
110,urticaria pigmentosa,23,ehlers danlos syndrome,1
112,xanthomas,76,pilar cyst,1
110,urticaria pigmentosa,1,acne,1
109,urticaria,110,urticaria pigmentosa,1
111,vitiligo,83,porphyria,1
