disease,best_group,best_accuracy,worst_group,worst_accuracy,accuracy_gap,accuracy_gap_pp,groups_available,total_support,robust_disparity
perioral dermatitis,Light,0.2857142857142857,Medium,0.0,0.2857142857142857,28.57142857142857,2,9,False
porokeratosis of mibelli,Medium,0.6,Light,0.3333333333333333,0.26666666666666666,26.666666666666668,2,11,False
calcinosis cutis,Medium,0.5,Light,0.25,0.25,25.0,3,12,False
papilomatosis confluentes and reticulate,Dark,1.0,Light,0.75,0.25,25.0,3,23,True
lichen simplex,Light,0.75,Medium,0.5,0.25,25.0,3,14,False
ichthyosis vulgaris,Medium,0.25,Light,0.0,0.25,25.0,3,9,False
nevus sebaceous of jadassohn,Light,0.2222222222222222,Medium,0.0,0.2222222222222222,22.22222222222222,4,14,False
fordyce spots,Light,0.7142857142857143,Unknown,0.5,0.2142857142857143,21.42857142857143,3,16,False
fixed eruptions,Medium,0.375,Light,0.1666666666666666,0.2083333333333334,20.83333333333334,3,18,False
rhinophyma,Medium,0.8333333333333334,Light,0.625,0.20833333333333337,20.833333333333336,2,14,False
keloid,Dark,0.8333333333333334,Light,0.625,0.20833333333333337,20.833333333333336,3,22,True
nevocytic nevus,Medium,0.5,Light,0.3,0.2,20.0,2,12,False
pustular psoriasis,Light,0.2,Medium,0.0,0.2,20.0,3,8,False
sun damaged skin,Light,0.2,Medium,0.0,0.2,20.0,3,9,False
porokeratosis actinic,Dark,1.0,Light,0.8,0.19999999999999996,19.999999999999996,3,27,True
eczema,Light,0.1764705882352941,Dark,0.0,0.1764705882352941,17.64705882352941,3,29,True
pilomatricoma,Medium,0.5,Light,0.3333333333333333,0.16666666666666669,16.666666666666668,2,8,False
drug eruption,Medium,0.4,Light,0.25,0.15000000000000002,15.000000000000002,3,30,True
acquired autoimmune bullous diseaseherpes gestationis,Light,0.1428571428571428,Medium,0.0,0.1428571428571428,14.28571428571428,2,10,False
solid cystic basal cell carcinoma,Light,0.1428571428571428,Medium,0.0,0.1428571428571428,14.28571428571428,2,9,False
psoriasis,Dark,0.5384615384615384,Unknown,0.4,0.1384615384615384,13.846153846153841,4,99,True
lyme disease,Medium,0.6666666666666666,Light,0.5384615384615384,0.1282051282051282,12.82051282051282,2,19,False
basal cell carcinoma morpheiform,Light,0.125,Medium,0.0,0.125,12.5,2,9,False
pityriasis lichenoides chronica,Medium,0.75,Light,0.6666666666666666,0.08333333333333337,8.333333333333337,2,10,False
erythema nodosum,Medium,0.5,Light,0.4285714285714285,0.07142857142857151,7.142857142857151,2,11,False
rosacea,Medium,0.25,Light,0.1818181818181818,0.0681818181818182,6.81818181818182,2,15,False
keratosis pilaris,Medium,0.2,Light,0.1428571428571428,0.05714285714285722,5.7142857142857215,2,12,False
incontinentia pigmenti,Medium,0.5,Light,0.4444444444444444,0.05555555555555558,5.555555555555558,2,15,False
neurotic excoriations,Light,0.2,Medium,0.1666666666666666,0.03333333333333341,3.333333333333341,2,11,False
dermatofibroma,Light,0.4285714285714285,Medium,0.4,0.02857142857142847,2.857142857142847,2,12,False
dariers disease,Light,0.0,Light,0.0,0.0,0.0,3,22,True
epidermolysis bullosa,Light,0.0,Light,0.0,0.0,0.0,3,10,False
drug induced pigmentary changes,Light,0.0,Light,0.0,0.0,0.0,3,10,False
neurodermatitis,Light,0.0,Light,0.0,0.0,0.0,3,11,False
xanthomas,Light,0.0,Light,0.0,0.0,0.0,3,8,False
